Date,Open,High,Low,Close,Volume,Returns,Returns_VIX,Returns_SP500,Returns_Nasdaq,ES,MS,IV,MF,SF,MFCST,EFCST
2018-02-06,377.6993305746225,379.8423131307531,363.5914064188893,366.091552734375,94211751,-7.029476384334965,-19.667739047719902,1.7440920592313836,2.1291634514759794,-2,1,-2,1,1,1,1
2018-02-07,383.9496962563656,386.4498131081976,368.9488473493898,370.3775024414063,66226938,1.170731658520685,-7.505003450150694,-0.5001588416939429,-0.8979901768450649,1,-1,-2,-1,-1,1,1
2018-02-08,373.9490994251368,378.5921984090713,369.6631346160957,375.19915771484375,38441912,1.301821855176044,20.663539981343337,-3.753641975808808,-3.897059052633367,1,-2,2,-2,-2,1,1
2018-02-09,359.84121800064673,366.9844639516377,355.3766855863778,363.77001953125,75019011,-3.0461524096170978,-13.15002910616373,1.4936090208494734,1.4361484143950776,-2,1,-2,1,1,1,1
2018-02-12,368.5916554064662,374.8420061767515,365.734375,365.734375,36723678,0.5399992751687677,-11.87198526838975,1.3914584754042503,1.5633119387545413,1,1,-2,1,1,0,0
2018-02-13,374.30626338594055,380.0208535755967,373.2347721830313,377.1635437011719,25714553,3.124991655808085,-2.4990288236790614,0.26129297463290957,0.4518760471846628,2,0,-1,0,0,0,0
2018-02-14,382.6995611839407,388.4141808488801,380.7351754537142,387.1640930175781,24174326,2.6515153660582103,-22.867437891433283,1.3402458257245842,1.855138951972446,2,1,-2,1,1,0,0
2018-02-15,396.8075395718929,399.1290893554688,394.485989788317,399.1290893554688,17741142,3.0904199417448153,-0.6749795772083567,1.2069112762299383,1.5791721388197733,2,1,-1,1,1,0,0
2018-02-20,401.8077914623784,404.48653450772986,397.1646920276023,398.0575866699219,22218239,-0.2684601834652689,5.85817754691822,-0.5841389459353419,-0.07127809213746117,0,-1,2,-1,0,0,0
2018-02-21,400.5577163678455,408.9510498046875,399.3076580088244,408.9510498046875,22134272,2.7366550719202243,-2.815533558085659,-0.5496503128179286,-0.22227521345865586,2,-1,-2,-1,0,0,0
2018-02-22,406.27229897452105,406.4508956275929,398.5933227539063,398.5933227539063,24282571,-2.5327547284028196,-6.493512061359841,0.09735510790762625,-0.11277192249036228,-2,0,-2,0,0,0,0
2018-02-23,405.379389268112,405.9151200889584,401.2720211109785,404.8436584472656,16262913,1.568098444343069,-11.912391154018309,1.602837635051313,1.7655853911321184,1,1,-2,1,1,0,0
2018-02-26,407.1652552821511,408.0581499404535,400.3791731133013,404.4865417480469,23053641,-0.08821101473799331,-4.184351667437969,1.1757015343810906,1.1457728518214694,0,1,-2,1,1,0,1
2018-02-27,408.9510274924674,408.9510274924674,394.8431043222869,398.2361450195313,23874550,-1.5452669207493441,17.658227393497672,-1.2706888443829278,-1.2276541780296912,-1,-1,2,-1,-1,0,1
2018-02-28,391.9857857737548,392.878709869605,384.8425408029173,385.9140319824219,35320126,-3.0941724379400792,6.777838722644836,-1.1095788639207016,-0.7822318343237544,-2,-1,2,-1,-1,0,1
2018-03-01,383.94970264809024,399.4862531344187,382.1638837533407,399.1290893554688,29411827,3.4243526479619923,13.198986808738677,-1.3324399541987275,-1.271134097305937,2,-1,2,-1,-1,0,1
2018-03-02,390.1999929844663,393.4144667358768,389.3070983886719,389.3070983886719,28086272,-2.4608557052701707,-12.817086109366038,0.5071602744632031,1.0766577810490618,-1,1,-2,1,1,0,1
2018-03-05,389.30706537959566,392.52153885845314,379.485107421875,379.485107421875,26076395,-2.522941659026956,-4.389997976788962,1.1032026532745043,1.0035980607796535,-2,1,-2,1,1,-1,-1
2018-03-06,388.4142178012288,396.4503581307902,383.9496855428516,391.628662109375,26915822,3.2000082348422554,-1.975434815416921,0.2638858606169414,0.5633806944698394,2,0,-1,0,1,-1,-1
