Date,Open,High,Low,Close,Volume
2012-01-03,20.48322621786556,20.689912174839858,20.46184449009433,20.56162452697754,217500
2012-01-04,20.25516114666953,20.305050488508936,20.062729662961,20.219526290893555,126100
2012-01-05,19.77764563029249,19.84891669723311,19.620850370529144,19.784772872924805,220100
2012-01-06,19.69212377400103,19.74201448179097,19.385660439588122,19.45693016052246,1921700
2012-01-09,19.599470657025787,19.63510551446731,19.385658793611302,19.606597900390625,499600
2012-01-10,19.991456985473633,20.027093197768423,19.920187279649056,19.991456985473633,219400
2012-01-11,19.806159496448544,19.95582755057407,19.699252189921314,19.927318572998047,246000
2012-01-12,20.191024780273438,20.248041386214805,20.027102208114894,20.191024780273438,622200
2012-01-13,19.799031530118867,19.813284659004296,19.521074446419288,19.763395309448242,182600
2012-01-17,20.191022130037226,20.383453659599805,20.155387265769907,20.24091148376465,237300
2012-01-18,20.411956969386928,20.668532287964105,20.383449355868713,20.654277801513672,168600
2012-01-19,20.93223818395673,21.067651748657227,20.76118703807098,21.067651748657227,131700
2012-01-20,20.95361807296844,21.081905749723845,20.917983211373198,21.05339813232422,146000
2012-01-23,21.203063232637437,21.324223648342098,21.096157303341002,21.252952575683594,140200
2012-01-24,20.910855367483173,21.160303469644543,20.846711530945026,21.1389217376709,365900
2012-01-25,21.00350574284909,21.466767062827188,20.86809219211286,21.42400360107422,178500
2012-01-26,21.680576959707867,21.751848030089754,21.459637864968357,21.5095272064209,160100
2012-01-27,21.402621418626904,21.5807984160399,21.381239689559603,21.545162200927734,562600
2012-01-30,21.053394384783896,21.195935165175197,20.989250557823905,21.18168067932129,171400
2012-01-31,21.48101768812954,21.488144930924705,21.110410578459078,21.28858757019043,203100
2012-02-01,21.673451290775027,21.894390401560333,21.66632404728096,21.744722366333008,193600
2012-02-02,21.780355242789543,21.937151866627886,21.751847630789666,21.837371826171875,144900
2012-02-03,21.8943873294467,22.215106444764515,21.8943873294467,22.207979202270508,114700
2012-02-06,21.901520364377397,22.065442906945705,21.84450376872829,22.029808044433594,1561700
2012-02-07,22.008422683121637,22.314887343982235,21.915771240234374,22.272125244140625,568100
2012-02-08,22.336267919406385,22.464555571684816,22.222234752799462,22.436046600341797,308700
2012-02-09,22.550084417852908,22.57859339507584,22.322018037600884,22.507322311401367,345100
2012-02-10,21.965660965537985,22.03693203943606,21.85162779105413,21.951406478881836,387800
2012-02-13,22.200850111778426,22.2151045955799,22.03692762620867,22.115325927734375,226600
2012-02-14,21.97991618789224,22.029805533475958,21.694833242140486,21.901517868041992,125100
2012-02-15,22.036934096572235,22.044061340565634,21.73046940177006,21.773231506347656,225600
